Index,Long_Name,Stock1,Stock1 weight,Stock2,Stock2 weight,Stock4,Stock4 weight,Stock5,Stock5 weight,Stock6,Stock6 weight,Stock7,Stock7 weight,Stock8,Stock8 weight,Stock9,Stock9 weight,Stock10,Stock10 weight,Stock11,Stock11 weight,Stock12,Stock12 weight,Stock13,Stock13 weight,Stock14,Stock14 weight,Stock15,Stock15 weight,Stock16,Stock16 weight,Default Stock
TJI_BK,TJI Bank,^NSEBANK,0.01,^NSEBANK,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_psuBK,TJI PSU Bank,SBIN.NS,0.01,BANKBARODA.NS,0.01,PNB.NS,0.01,UNIONBANK.NS,0.01,CANBK.NS,0.01,INDIANB.NS,0.01,CENTRALBK.NS,0.01,DSPPSBKETF.NS,0.01,,,,,,,,,,,,,,,^NSEI
TJI_pvtBK,TJI Pvt Bank,KOTAKBANK.NS,0.01,HDFCBANK.NS,0.01,ICICIBANK.NS,0.01,AXISBANK.NS,0.01,INDUSINDBK.NS,0.01,IDFCFIRSTB.NS,0.01,IDBI.NS,0.01,FEDERALBNK.NS,0.01,NIFTY_PVT_BANK.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_INSR,TJI Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_LFINSR,TJI Life Insurance,HDFCLIFE.NS,0.01,SBILIFE.NS,0.01,LICI.NS,0.01,ICICIPRULI.NS,0.01,CANHLIFE.NS,0.01,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_GenINSR,TJI Gen Insurance,BAJAJFINSV.NS,0.01,GICRE.NS,0.01,ICICIGI.NS,0.01,NIACL.NS,0.01,STARHEALTH.NS,0.01,GODIGIT.NS,0.01,NIVABUPA.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_AST_MGMT,TJI Asset Mgmt,HDFCAMC.NS,0.01,ANANDRATHI.NS,0.01,UTIAMC.NS,0.01,MOTILALOFS.NS,0.01,NAM-INDIA.NS,0.01,ABSLAMC.NS,0.01,NUVAMA.NS,0.01,360ONE.NS,0.01,ANGELONE.NS,0.01,CRAMC.NS,0.01,ICICIAMC.NS,0.01,SBIFUNDS.NS,0.01,GROWW.NS,.01,IIFLCAPS.NS,.01,PRUDENT.NS,.01,^NSEI
TJI_RTG_AGY,TJI Rating Agency,CRISIL.NS,0.01,ICRA.NS,0.01,CARERATING.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_BVRG,TJI Beverages,VBL.NS,0.01,BIKAJI.NS,0.01,DIAMONDYD.NS,0.01,BRITANNIA.NS,0.01,BECTORFOOD.NS,0.01,GOPAL.NS,0.01,NESTLEIND.NS,0.01,^CNXFMCG,0.01,,,,,,,,,,,,,,,^NSEI
TJI_FMCG,TJI FMCG,GODREJCP.NS,0.01,DABUR.NS,0.01,EMAMILTD.NS,0.01,HINDUNILVR.NS,0.01,CUPID.NS,0.01,COLPAL.NS,0.01,HONASA.NS,0.01,^CNXFMCG,0.01,PGHH.NS,0.01,BAJAJCON.NS,0.01,,,,,,,,,,,^NSEI
TJI_MeatSeaF,TJI Meat&Sea Food,AVANTIFEED.NS,0.01,VENKEYS.NS,0.01,APEX.NS,0.01,WATERBASE.BO,0.01,COASTCORP.NS,0.01,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_QSR,TJI QSR,JUBLFOOD.NS,0.01,DEVYANI.NS,0.01,WESTLIFE.NS,0.01,SAPPHIRE.NS,0.01,BARBEQUE.NS,0.01,RBA.NS,0.01,SPECIALITY.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_Retail-CH,TJI Retail Chains,ABFRL.NS,0.01,TRENT.NS,0.01,SHOPERSTOP.NS,0.01,TITAN.NS,0.01,VIPIND.NS,0.01,VMART.NS,0.01,DMART.NS,0.01,AVL.BO,0.01,V2RETAIL.NS,0.01,,,,,,,,,,,,,^NSEI
TJI_INN_WR,TJI Innerwear,LUXIND.NS,0.01,ROOPAIND.BO,0.01,PAGEIND.NS,0.01,DOLLAR.NS,0.01,,,,,,,,,,,,,,,,,,,,,,,^NSEI
TJI_MediaENT,TJI Media&Enter,SUNTV.NS,0.01,SAREGAMA.NS,0.01,PVRINOX.NS,0.01,TIPSMUSIC.BO,0.01,BALAJITELE.NS,0.01,SHEMAROO.NS,0.01,TV18BRDCST.NS,0.01,TIPSMUSIC.NS,0.01,^CNXMEDIA,0.01,^CNXMEDIA,0.01,,,,,,,,,,,^NSEI
TJI_HOTEL,TJI Hotels,INDHOTEL.NS,0.01,EIHOTEL.NS,0.01,JUNIPER.NS,0.01,LEMONTREE.NS,0.01,SAMHI.NS,0.01,CHALET.NS,0.01,THELEELA,0.01,ADVANIHOTR.NS,0.01,ASIANHOTNR.NS,0.01,BENARAS.NS,0.01,KAMATHOTEL.NS,0.01,ORIENTHOT.NS,0.01,TAJGVK.NS,0.01,UPHOT.NS,0.01,,,^NSEI
TJI_Aviation,TJI Aviation,INDIGO.NS,0.01,SPICEJET.BO,0.01,JETAIRWAYS.NS,0.01,YATRA.NS,0.01,EASEMYTRIP.NS,0.01,TAALENT.BO,0.01,GMRAIRPORT.NS,0.01,,,,,,,,,,,,,,,,,^NSEI
TJI_IT,TJI IT,TCS.NS,0.01,INFY.NS,0.01,WIPRO.NS,0.01,HCLTECH.NS,0.01,TECHM.NS,0.01,COFORGE.NS,0.01,KPITTECH.NS,0.01,ZENSARTECH.NS,0.01,ECLERX.NS,0.01,^CNXIT,0.01,,,,,,,,,,,^NSEI
